PLAYER , TEAM , AGE , GP , G , FREQ , FGM , FGA , FG% , EFG% , 2FG FREQ , 2FGM , 2FGA , 2FG% , 3FG FREQ , 3PM , 3PA , 3P% , --------------------------------------------------------------
Cade Cunningham,DET,22,12,12,100,8.0,19.9,40.2,44.8,69.0,6.2,13.8,44.9,31.0,1.8,6.2,29.7,--------------------------------------------------------------
Ausar Thompson,DET,20,12,12,100,4.8,11.0,43.2,44.7,79.5,4.4,8.8,50.5,20.5,0.3,2.3,14.7,--------------------------------------------------------------
Killian Hayes,DET,22,12,12,100,4.0,10.0,40.0,45.8,64.2,2.8,6.4,44.1,35.8,1.2,3.6,32.7,--------------------------------------------------------------
Isaiah Stewart,DET,22,12,12,100,4.4,9.3,47.3,56.3,58.0,2.8,5.4,50.7,42.0,1.7,3.9,42.6,--------------------------------------------------------------
Marcus Sasser,DET,23,12,12,100,3.7,7.5,48.9,59.4,50.0,2.1,3.8,55.5,50.0,1.6,3.8,42.1,--------------------------------------------------------------
Marvin Bagley III,DET,24,12,12,100,4.3,7.3,59.1,59.7,94.3,4.3,6.9,61.4,5.7,0.1,0.4,19.0,--------------------------------------------------------------
Desmond Bane,MEM,25,11,11,100,9.4,20.6,45.6,53.8,53.5,6.0,11.0,54.5,46.5,3.4,9.6,35.2,--------------------------------------------------------------
Lauri Markkanen,UTA,26,11,11,100,8.1,16.8,48.1,59.7,45.4,4.2,7.6,54.7,54.6,3.9,9.2,42.6,--------------------------------------------------------------
Mikal Bridges,BKN,27,11,11,100,7.6,16.7,45.7,51.4,60.9,5.7,10.2,56.3,39.1,1.9,6.5,29.2,--------------------------------------------------------------
Victor Wembanyama,SAS,19,11,11,100,6.9,16.0,43.2,48.0,65.9,5.4,10.6,50.8,34.1,1.6,5.5,28.4,--------------------------------------------------------------
Jordan Clarkson,UTA,31,11,11,100,6.5,15.6,42.1,47.7,64.3,4.8,10.0,48.2,35.7,1.7,5.5,31.2,--------------------------------------------------------------
Jaren Jackson Jr.,MEM,24,11,11,100,6.7,15.2,44.3,49.7,66.5,5.1,10.1,50.4,33.5,1.6,5.1,32.2,--------------------------------------------------------------
D'Angelo Russell,LAL,27,11,11,100,6.6,14.3,46.5,53.5,59.2,4.6,8.4,54.9,40.8,2.0,5.8,34.4,--------------------------------------------------------------
Josh Giddey,OKC,21,11,11,100,5.5,12.8,43.3,44.7,85.1,5.2,10.9,47.5,14.9,0.4,1.9,18.8,--------------------------------------------------------------
Jalen Williams,OKC,22,11,11,100,6.5,12.3,52.6,57.0,75.6,5.4,9.3,57.8,24.4,1.1,3.0,36.3,--------------------------------------------------------------
Myles Turner,IND,27,11,11,100,6.3,12.2,51.5,59.3,60.4,4.4,7.4,59.2,39.6,1.9,4.8,39.6,--------------------------------------------------------------
Jordan Hawkins,NOP,21,11,11,100,4.5,11.8,37.7,50.0,31.5,1.6,3.7,41.6,68.5,2.9,8.1,36.0,--------------------------------------------------------------
Bennedict Mathurin,IND,21,11,11,100,4.8,11.3,42.7,48.4,65.3,3.5,7.4,48.2,34.7,1.3,3.9,32.5,--------------------------------------------------------------
Buddy Hield,IND,30,11,11,100,4.5,11.1,41.0,54.1,29.5,1.6,3.3,50.2,70.5,2.9,7.8,37.2,--------------------------------------------------------------
Austin Reaves,LAL,25,11,11,100,4.9,11.0,44.6,52.1,60.3,3.3,6.6,49.2,39.7,1.6,4.4,37.6,--------------------------------------------------------------
Duncan Robinson,MIA,29,11,11,100,4.9,10.9,45.0,57.1,33.3,2.3,3.6,62.4,66.7,2.6,7.3,36.3,--------------------------------------------------------------
John Collins,UTA,26,11,11,100,5.6,10.8,52.1,59.2,66.4,4.1,7.2,57.0,33.6,1.6,3.6,42.6,--------------------------------------------------------------
Marcus Smart,MEM,29,11,11,100,4.6,10.8,42.9,50.4,48.7,3.0,5.3,56.9,51.3,1.6,5.5,29.5,--------------------------------------------------------------
Zach Collins,SAS,25,11,11,100,5.6,10.6,53.4,58.2,64.7,4.6,6.8,68.0,35.3,1.0,3.7,26.8,--------------------------------------------------------------
Andrew Wiggins,GSW,28,11,11,100,4.3,10.6,40.5,42.7,74.1,3.8,7.8,48.8,25.9,0.5,2.7,16.5,--------------------------------------------------------------
Chet Holmgren,OKC,21,11,11,100,5.4,10.2,52.7,61.2,63.4,3.6,6.5,56.4,36.6,1.7,3.7,46.4,--------------------------------------------------------------
Talen Horton-Tucker,UTA,22,11,11,100,3.8,9.4,40.4,46.6,63.5,2.6,6.0,44.0,36.5,1.2,3.5,34.2,--------------------------------------------------------------
Dorian Finney-Smith,BKN,30,11,11,100,4.4,9.4,46.6,62.6,27.2,1.4,2.5,53.3,72.8,3.0,6.8,44.0,--------------------------------------------------------------
Bruce Brown,IND,27,11,11,100,4.2,9.3,45.1,52.5,59.8,2.8,5.5,50.8,40.2,1.4,3.7,36.5,--------------------------------------------------------------
Jeremy Sochan,SAS,20,11,11,100,4.2,9.3,45.1,49.0,82.4,3.5,7.6,45.2,17.6,0.7,1.6,44.5,--------------------------------------------------------------
Jonas Valanciunas,NOP,31,11,11,100,4.6,9.1,51.0,56.0,75.0,3.7,6.8,54.7,25.0,0.9,2.3,40.1,--------------------------------------------------------------
Chris Paul,GSW,38,11,11,100,3.4,9.0,37.4,40.9,63.6,2.7,5.7,47.6,36.4,0.6,3.3,19.6,--------------------------------------------------------------
Collin Sexton,UTA,24,11,11,100,4.1,8.9,45.9,51.0,67.3,3.2,6.0,53.0,32.7,0.9,2.9,31.3,--------------------------------------------------------------
Malaki Branham,SAS,20,11,11,100,3.7,8.6,43.2,48.9,63.2,2.7,5.5,50.1,36.8,1.0,3.2,31.4,--------------------------------------------------------------
Luguentz Dort,OKC,24,11,11,100,4.2,8.6,48.9,61.7,45.7,2.0,3.9,51.2,54.3,2.2,4.6,47.0,--------------------------------------------------------------
Royce O'Neale,BKN,30,11,11,100,2.9,8.1,36.0,52.2,15.7,0.3,1.3,21.3,84.3,2.6,6.8,38.7,--------------------------------------------------------------
Dario Saric,GSW,29,11,11,100,3.4,8.0,42.0,51.7,43.2,1.8,3.5,52.8,56.8,1.6,4.5,34.1,--------------------------------------------------------------
Aaron Nesmith,IND,24,11,11,100,4.0,7.8,51.2,64.5,41.9,1.9,3.3,58.4,58.1,2.1,4.5,45.9,--------------------------------------------------------------
Jaime Jaquez Jr.,MIA,22,11,11,100,3.8,7.6,50.0,55.4,61.9,3.0,4.7,63.4,38.1,0.8,2.9,28.2,--------------------------------------------------------------
David Roddy,MEM,22,11,10,100,3.4,7.4,45.7,50.6,61.7,2.6,4.5,58.0,38.3,0.7,2.8,25.9,--------------------------------------------------------------
Obi Toppin,IND,25,11,11,100,4.5,7.3,61.3,66.3,67.5,3.7,4.9,76.0,32.5,0.7,2.4,30.9,--------------------------------------------------------------
Dyson Daniels,NOP,20,11,11,100,3.3,7.2,45.6,53.2,57.0,2.2,4.1,53.3,43.0,1.1,3.1,35.3,--------------------------------------------------------------
Keyonte George,UTA,20,11,11,100,2.7,7.1,38.5,47.4,41.0,1.4,2.9,49.8,59.0,1.3,4.2,30.4,--------------------------------------------------------------
Isaiah Joe,OKC,24,11,11,100,2.7,6.9,39.5,55.9,19.7,0.5,1.4,33.1,80.3,2.3,5.5,40.9,--------------------------------------------------------------
Andrew Nembhard,IND,23,11,11,100,3.3,6.8,48.0,53.3,62.7,2.5,4.3,59.7,37.3,0.7,2.5,28.6,--------------------------------------------------------------
Matt Ryan,NOP,26,11,11,100,2.9,6.5,45.1,63.4,16.9,0.6,1.1,50.5,83.1,2.4,5.4,44.0,--------------------------------------------------------------
Cedi Osman,SAS,28,11,11,100,3.0,5.9,50.8,63.8,41.5,1.4,2.5,59.2,58.5,1.6,3.5,44.9,--------------------------------------------------------------
Cam Reddish,LAL,24,11,11,100,2.4,5.7,41.3,50.0,49.2,1.4,2.8,48.2,50.8,1.0,2.9,34.4,--------------------------------------------------------------
Gary Payton II,GSW,30,11,11,100,2.6,5.5,48.3,55.8,58.3,1.8,3.2,57.2,41.7,0.8,2.3,36.1,--------------------------------------------------------------
Moses Moody,GSW,21,11,11,100,2.5,5.5,45.0,55.0,38.3,1.4,2.1,65.1,61.7,1.1,3.4,32.4,--------------------------------------------------------------
Christian Wood,LAL,28,11,11,100,2.3,5.5,41.7,50.8,50.0,1.3,2.7,46.5,50.0,1.0,2.7,36.6,--------------------------------------------------------------
Doug McDermott,SAS,31,11,11,100,2.6,5.2,50.9,71.1,22.8,0.6,1.2,46.6,77.2,2.1,4.0,52.3,--------------------------------------------------------------
Kelly Olynyk,UTA,32,11,11,100,2.8,4.8,58.5,67.0,62.3,2.0,3.0,66.7,37.7,0.8,1.8,45.1,--------------------------------------------------------------
Cason Wallace,OKC,20,11,11,100,3.1,4.7,65.4,76.0,61.5,2.1,2.9,71.8,38.5,1.0,1.8,54.9,--------------------------------------------------------------
Day'Ron Sharpe,BKN,22,11,11,100,2.7,4.7,57.7,57.7,96.2,2.7,4.5,60.0,3.8,0.0,0.2,0.0,--------------------------------------------------------------
Ochai Agbaji,UTA,23,11,11,100,1.7,4.4,39.6,50.0,39.6,0.8,1.7,47.4,60.4,0.9,2.6,34.5,--------------------------------------------------------------
Kevon Looney,GSW,27,11,11,100,2.3,3.9,58.1,58.1,100,2.3,3.9,58.1,0.0,0.0,0.0,-,--------------------------------------------------------------
Charles Bassey,SAS,23,11,9,100,1.7,2.4,73.1,73.1,96.2,1.7,2.3,76.2,3.8,0.0,0.1,0.0,--------------------------------------------------------------
Joel Embiid,PHI,29,10,10,100,11.0,21.8,50.5,53.2,83.0,9.8,18.1,54.1,17.0,1.2,3.7,32.4,--------------------------------------------------------------
